metering_point_id;timestamp;value;unit_of_measure;property;reading_status;consumption_from;consumption_to;consumption_value;calculated_value;calculated_normalized_value;calculated_deviation_type;calculated_deviation_level;temperature;calculate_consuming_values;validate_simple_status;validate_advanced_status
"TDS5";"2012-01-01T00:00:00Z";3600,14;"MWh";"energy";"measured";"2011-12-31T00:00:00Z";"2012-01-01T00:00:00Z";4,629999999999654;4,459979793975334;0,03812129513545967;"larger";"ok";-2,10116;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-02T00:00:00Z";3604,07;"MWh";"energy";"measured";"2012-01-01T00:00:00Z";"2012-01-02T00:00:00Z";3,930000000000291;3,4511090770956243;0,13876435435871257;"larger";"ok";2,64775;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-03T00:00:00Z";3608,61;"MWh";"energy";"measured";"2012-01-02T00:00:00Z";"2012-01-03T00:00:00Z";4,539999999999964;4,366156320245352;0,039816183160579666;"larger";"ok";-1,6517;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-04T00:00:00Z";3619,03;"MWh";"energy";"measured";"2012-01-03T00:00:00Z";"2012-01-04T00:00:00Z";10,420000000000073;10,77719746970064;0,033143817834349235;"smaller";"ok";-4,68901;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-05T00:00:00Z";3627,92;"MWh";"energy";"measured";"2012-01-04T00:00:00Z";"2012-01-05T00:00:00Z";8,889999999999873;8,675708657453436;0,0247001543052435;"larger";"ok";0,51648;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-06T00:00:00Z";3636,25;"MWh";"energy";"measured";"2012-01-05T00:00:00Z";"2012-01-06T00:00:00Z";8,329999999999927;8,918590444588228;0,06599590464942307;"smaller";"ok";-0,08515;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-07T00:00:00Z";3640,68;"MWh";"energy";"measured";"2012-01-06T00:00:00Z";"2012-01-07T00:00:00Z";4,429999999999836;4,169286925694676;0,06253181394123429;"larger";"ok";-0,7086;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-08T00:00:00Z";3645,56;"MWh";"energy";"measured";"2012-01-07T00:00:00Z";"2012-01-08T00:00:00Z";4,880000000000109;3,939036781613095;0,23888155164717087;"larger";"critical";0,39441;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-09T00:00:00Z";3649,25;"MWh";"energy";"measured";"2012-01-08T00:00:00Z";"2012-01-09T00:00:00Z";3,6900000000000546;3,6134831468283948;0,021175372919289722;"larger";"ok";1,95397;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-10T00:00:00Z";3652,83;"MWh";"energy";"measured";"2012-01-09T00:00:00Z";"2012-01-10T00:00:00Z";3,5799999999999272;3,5160688809255145;0,018182555928080827;"larger";"ok";2,37231;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-11T00:00:00Z";3661,28;"MWh";"energy";"measured";"2012-01-10T00:00:00Z";"2012-01-11T00:00:00Z";8,450000000000273;8,038193191695632;0,05123126534580988;"larger";"ok";2,08061;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-12T00:00:00Z";3669,59;"MWh";"energy";"measured";"2012-01-11T00:00:00Z";"2012-01-12T00:00:00Z";8,309999999999945;8,639177279500496;0,03810285040470692;"smaller";"ok";0,60697;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-13T00:00:00Z";3678,61;"MWh";"energy";"measured";"2012-01-12T00:00:00Z";"2012-01-13T00:00:00Z";9,019999999999982;8,906006920985696;0,012799572246645984;"larger";"ok";-0,05398;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-14T00:00:00Z";3688,06;"MWh";"energy";"measured";"2012-01-13T00:00:00Z";"2012-01-14T00:00:00Z";9,449999999999818;10,179296412239676;0,07164507080891618;"smaller";"ok";-3,20798;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-15T00:00:00Z";3696,56;"MWh";"energy";"measured";"2012-01-14T00:00:00Z";"2012-01-15T00:00:00Z";8,5;9,060638523343023;0,0618762708498572;"smaller";"ok";-0,43701;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-16T00:00:00Z";3700,28;"MWh";"energy";"measured";"2012-01-15T00:00:00Z";"2012-01-16T00:00:00Z";3,7200000000002547;3,802566274369484;0,021713303177844034;"smaller";"ok";1,04817;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-17T00:00:00Z";3703,36;"MWh";"energy";"measured";"2012-01-16T00:00:00Z";"2012-01-17T00:00:00Z";3,0799999999999272;3,047622000482325;0,010624020798011733;"larger";"ok";4,3586;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-18T00:00:00Z";3710,67;"MWh";"energy";"measured";"2012-01-17T00:00:00Z";"2012-01-18T00:00:00Z";7,309999999999945;7,08455459420829;0,03182210014669933;"larger";"ok";4,07166;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-19T00:00:00Z";3718,35;"MWh";"energy";"measured";"2012-01-18T00:00:00Z";"2012-01-19T00:00:00Z";7,679999999999836;7,838417867614382;0,020210439184299312;"smaller";"ok";2,49771;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-20T00:00:00Z";3727,08;"MWh";"energy";"measured";"2012-01-19T00:00:00Z";"2012-01-20T00:00:00Z";8,730000000000018;9,452168986309973;0,07640246247775577;"smaller";"ok";-1,40685;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-21T00:00:00Z";3737,06;"MWh";"energy";"measured";"2012-01-20T00:00:00Z";"2012-01-21T00:00:00Z";9,980000000000018;10,654737217869004;0,06332743868496232;"smaller";"ok";-4,38567;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-22T00:00:00Z";3746,64;"MWh";"energy";"measured";"2012-01-21T00:00:00Z";"2012-01-22T00:00:00Z";9,579999999999927;10,089443513676455;0,05049272667872778;"smaller";"ok";-2,98541;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-23T00:00:00Z";3750,77;"MWh";"energy";"measured";"2012-01-22T00:00:00Z";"2012-01-23T00:00:00Z";4,130000000000109;4,131628947986118;0,0003942628940101185;"smaller";"ok";-0,5282;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-24T00:00:00Z";3754,53;"MWh";"energy";"measured";"2012-01-23T00:00:00Z";"2012-01-24T00:00:00Z";3,7600000000002183;4,0588346575951615;0,07362572827048865;"smaller";"ok";-0,17948;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-25T00:00:00Z";3764,65;"MWh";"energy";"measured";"2012-01-24T00:00:00Z";"2012-01-25T00:00:00Z";10,11999999999989;9,288260214482444;0,08954742506250866;"larger";"ok";-1,00084;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-26T00:00:00Z";3774,4;"MWh";"energy";"measured";"2012-01-25T00:00:00Z";"2012-01-26T00:00:00Z";9,75;8,83469625017558;0,1036033072225011;"larger";"ok";0,12266;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-27T00:00:00Z";3786,13;"MWh";"energy";"measured";"2012-01-26T00:00:00Z";"2012-01-27T00:00:00Z";11,730000000000018;11,131324549229202;0,053782948122941224;"larger";"ok";-5,5662;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-28T00:00:00Z";3796,59;"MWh";"energy";"measured";"2012-01-27T00:00:00Z";"2012-01-28T00:00:00Z";10,460000000000036;11,334776347584418;0,07717632185753777;"smaller";"ok";-6,07016;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-29T00:00:00Z";3804,79;"MWh";"energy";"measured";"2012-01-28T00:00:00Z";"2012-01-29T00:00:00Z";8,199999999999818;9,32966836385401;0,12108344260454881;"smaller";"ok";-1,10341;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-30T00:00:00Z";3808,47;"MWh";"energy";"measured";"2012-01-29T00:00:00Z";"2012-01-30T00:00:00Z";3,6799999999998363;3,5346200651008677;0,04113028620370826;"larger";"ok";2,29365;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-01-31T00:00:00Z";3812,44;"MWh";"energy";"measured";"2012-01-30T00:00:00Z";"2012-01-31T00:00:00Z";3,9700000000002547;4,054384169320514;0,020813066990245613;"smaller";"ok";-0,15816;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-02-01T00:00:00Z";3821,46;"MWh";"energy";"measured";"2012-01-31T00:00:00Z";"2012-02-01T00:00:00Z";9,019999999999982;8,440460955378763;0,06866201356596556;"larger";"ok";1,0992;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-02-02T00:00:00Z";3829,71;"MWh";"energy";"measured";"2012-02-01T00:00:00Z";"2012-02-02T00:00:00Z";8,25;7,958575229283676;0,0366177063507577;"larger";"ok";2,24684;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-02-03T00:00:00Z";3836,96;"MWh";"energy";"measured";"2012-02-02T00:00:00Z";"2012-02-03T00:00:00Z";7,25;7,584366495283584;0,04408627872763181;"smaller";"ok";3,02813;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-02-04T00:00:00Z";3844,84;"MWh";"energy";"measured";"2012-02-03T00:00:00Z";"2012-02-04T00:00:00Z";7,880000000000109;7,383379395681057;0,06726196470542369;"larger";"ok";3,44776;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-02-05T00:00:00Z";3851,92;"MWh";"energy";"measured";"2012-02-04T00:00:00Z";"2012-02-05T00:00:00Z";7,079999999999927;7,585219048812389;0,06660572958556334;"smaller";"ok";3,02635;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS5";"2012-02-06T00:00:00Z";3854,89;"MWh";"energy";"measured";"2012-02-05T00:00:00Z";"2012-02-06T00:00:00Z";2,9699999999998;3,076580809341867;0,034642616575661055;"smaller";"ok";4,23581;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
